"","State","County","Hispanic","White","Black","Asian","Native","Pacific","Income","TotalPop","Men","Women","Citizen","hospital_count","population_hospital_ratio"
"1860","Ohio","licking",0.95,93.05,1.65,0.45,0,0,54664.5,168693,82562,86131,127148,1,168693
"1861","Ohio","logan",1.4,96.2,0.9,0.3,0,0,46389,45484,22402,23082,34190,9,5053.77777777778
"1862","Ohio","lorain",4.9,81.2,6.5,0.4,0,0,51983,303152,149303,153849,230308,3,101050.666666667
"1863","Ohio","lucas",5.3,72.3,13.8,0.6,0,0,37706,436261,211587,224674,328323,9,48473.4444444444
"1864","Ohio","madison",1.2,94.85,0.55,0.05,0,0,60863.5,43456,23851,19605,33806,27,1609.48148148148
"1865","Ohio","mahoning",3.95,85.3,8.3,0.2,0,0,36956,234550,114040,120510,182674,4,58637.5
"1866","Ohio","marion",1.5,94.5,1.85,0,0,0,36359,65943,35022,30921,51442,28,2355.10714285714
"1867","Ohio","medina",1.4,94.9,0.8,0.5,0,0,68750,174831,86190,88641,131778,3,58277
"1868","Ohio","mercer",1.4,96.5,0.2,0,0,0,51574,40863,20523,20340,30189,14,2918.78571428571
"1869","Ohio","miami",0.8,95.5,1.2,0.3,0,0,52006,103517,50902,52615,78624,3,34505.6666666667
"1870","Ohio","monroe",0.35,97.8,0.3,0,0.25,0,42182,14547,7276,7271,11424,22,661.227272727273
"1871","Ohio","montgomery",1.7,82.35,8.1,0.7,0,0,43958,533763,256680,277083,403568,43,12413.0930232558
"1872","Ohio","morgan",0.45,92,3.7,0.1,0.05,0,37244,14913,7421,7492,11559,8,1864.125
"1873","Ohio","morrow",1.45,96.15,0.15,0,0,0,52439,34996,17515,17481,26268,2,17498
"1874","Ohio","muskingum",0.8,93.5,2.1,0,0,0,40680,86016,41796,44220,65467,1,86016
"1875","Ohio","noble",0,99.1,0,0,0,0,43312,14508,8359,6149,12503,2,7254
"1876","Ohio","ottawa",4.8,92,0.7,0,0,0,51481,41162,20432,20730,32905,6,6860.33333333333
"1877","Ohio","paulding",3.9,93.4,0.9,0,0.3,0,46523,19165,9530,9635,14362,2,9582.5
"1878","Ohio","perry",0.65,96.75,0.15,0,0,0,39452.5,36025,18035,17990,27088,7,5146.42857142857
"1879","Ohio","pickaway",0.5,96.3,0.3,0,0,0,61392,56515,29866,26649,43633,1,56515
"1880","Ohio","pike",0.95,95.25,0.1,0,0.05,0,40676.5,28396,14207,14189,21417,8,3549.5
"1881","Ohio","portage",1.3,94.3,2.4,0.4,0,0,56308,161897,79107,82790,126529,2,80948.5
"1882","Ohio","putnam",2.9,93.5,0.3,0.1,0,0,60061,34184,17110,17074,25192,6,5697.33333333333
"1883","Ohio","richland",1.25,91.15,3,0.1,0,0,41547.5,122312,61944,60368,94843,10,12231.2
"1884","Ohio","ross",1,93.6,2.9,0.1,0,0,41250,77334,40627,36707,60020,1,77334
"1885","Ohio","sandusky",8.7,88.2,2,0.2,0,0,49757,60187,29717,30470,45777,2,30093.5
"1886","Ohio","scioto",0.9,94.65,0.6,0,0.2,0,35412.5,78017,38655,39362,60252,2,39008.5
"1887","Ohio","seneca",4,92.3,1.6,0.15,0,0,45955,55929,27944,27985,42799,2,27964.5
"1888","Ohio","shelby",0.7,94.65,0.6,0.55,0.15,0,60472.5,49067,24590,24477,35708,13,3774.38461538462
"1889","Ohio","stark",1.2,90.25,3.8,0.3,0,0,47097,374979,181905,193074,288991,5,74995.8
"1890","Ohio","summit",1.4,85.3,6.7,1.2,0,0,47474,541847,262467,279380,412823,8,67730.875
"1891","Ohio","trumbull",1.3,94.2,2,0,0,0,44349,206373,100568,105805,161657,2,103186.5
"1892","Ohio","tuscarawas",0.6,97.4,0.5,0.2,0,0,48732,92697,45715,46982,70439,2,46348.5
"1893","Ohio","union",1.2,94.7,1.1,0.5,0.15,0,67600.5,53470,25523,27947,38972,19,2814.21052631579
"1894","Ohio","van wert",2.2,94.9,0.5,0,0,0,45229,28576,13984,14592,21738,1,28576
"1895","Ohio","warren",2.1,93.2,1.7,1,0,0,71337,219916,110375,109541,156514,12,18326.3333333333
"1896","Ohio","washington",0.55,96.05,0.6,0.2,0,0,41053.5,61351,30112,31239,48579,44,1394.34090909091
"1897","Ohio","wayne",1.25,95.45,0.85,0.25,0,0,51472.5,115371,57126,58245,85662,28,4120.39285714286
"1898","Ohio","williams",3.9,94,0.2,0.3,0.2,0,46382,37386,18604,18782,28599,4,9346.5
"1899","Ohio","wood",4.25,90.85,1.1,0.7,0.05,0,55618,128885,63329,65556,99791,6,21480.8333333333
"1900","Ohio","wyandot",1.65,97.35,0.2,0,0,0,48047.5,22467,11073,11394,17017,1,22467
"1901","Oklahoma","adair",4.6,40.2,0.2,0.6,43.1,0,34856,22236,11098,11138,15926,4,5559
"1902","Oklahoma","atoka",3.2,71.85,4.25,0.1,12.5,0,38826,13906,7307,6599,10629,1,13906
"1903","Oklahoma","beaver",23.2,75,0.5,0,0.5,0,52326,5530,2733,2797,3827,4,1382.5
"1904","Oklahoma","beckham",12.1,79.15,1.85,0.4,1,0.05,43868,23300,12515,10785,16866,1,23300
"1905","Oklahoma","blaine",7.1,85.8,0.2,0.1,3.1,0,41458,9810,5239,4571,7283,4,2452.5
"1906","Oklahoma","bryan",5.9,73.1,1.1,0.2,16.6,0,38485,44003,21412,22591,33178,1,44003
"1907","Oklahoma","caddo",9.8,65.8,0.9,0.1,17.5,0,41066.5,29495,15339,14156,21388,8,3686.875
"1908","Oklahoma","canadian",7.4,80.1,1.5,1.7,2.9,0,63485,126193,62570,63623,90045,2,63096.5
"1909","Oklahoma","carter",4.6,70.7,6,0.1,8,0,45536,48442,23465,24977,35359,4,12110.5
"1910","Oklahoma","cherokee",6.6,50.4,1.1,0.2,31.9,0,40636,48097,23764,24333,36074,11,4372.45454545455
"1911","Oklahoma","choctaw",3.2,64.9,5.4,0.1,9.9,0,31649,15120,7324,7796,11387,3,5040
"1912","Oklahoma","cimarron",20.95,75.7,0.2,0.2,0.95,0,46639.5,2341,1164,1177,1641,1,2341
"1913","Oklahoma","cleveland",7.75,74.3,3.4,2.7,3.25,0,55575,268614,134102,134512,200070,5,53722.8
"1914","Oklahoma","coal",3.15,70.35,0.25,0.15,10.45,0,38200.5,5812,2852,2960,4349,1,5812
"1915","Oklahoma","comanche",12.05,55.2,17.35,2.2,4.2,0,45625,125531,65098,60433,91817,5,25106.2
"1916","Oklahoma","craig",3.1,66.8,0.5,0.7,17.6,0.1,42813,14744,7545,7199,11373,1,14744
"1917","Oklahoma","creek",3.1,79.4,1.2,0,9.1,0,45109,70761,35084,35677,53000,3,23587
"1918","Oklahoma","custer",13.4,70.4,3.5,0.6,2.6,0.1,46691,28978,14515,14463,20414,6,4829.66666666667
"1919","Oklahoma","delaware",2.6,73.9,0.2,0.6,13.4,0.1,38500,41409,20465,20944,32049,13,3185.30769230769
"1920","Oklahoma","dewey",5.9,84.1,0,0.4,2.1,0,52083,4863,2468,2395,3555,2,2431.5
"1921","Oklahoma","ellis",6.2,88.85,0.05,0.55,0.6,0,54250,4121,2051,2070,3087,4,1030.25
"1922","Oklahoma","garfield",6.15,83.1,1.95,0.8,1.9,0.55,50761.5,62192,30902,31290,44036,7,8884.57142857143
"1923","Oklahoma","garvin",4,79.4,0.8,0,5.6,0,37617,27455,13516,13939,20164,2,13727.5
"1924","Oklahoma","grady",5.8,84.05,0.9,0.3,4.5,0,48574.5,53612,26570,27042,39913,2,26806
"1925","Oklahoma","grant",4.2,89.9,0.35,0.2,0.45,0,50255.5,4517,2228,2289,3448,16,282.3125
"1926","Oklahoma","greer",10.3,75.55,7.95,0.05,3.55,0,38869.5,6117,3570,2547,4929,1,6117
"1927","Oklahoma","harmon",26.5,60.8,6.6,1.6,0.7,0,31250,2866,1408,1458,2077,1,2866
"1928","Oklahoma","harper",19.85,77.65,0.1,0.15,0.1,0,50195.5,3766,1884,1882,2426,3,1255.33333333333
"1929","Oklahoma","haskell",4.1,72.65,0.45,0.1,15.85,0,33614.5,12850,6361,6489,9549,3,4283.33333333333
"1930","Oklahoma","hughes",4.8,71.1,0.8,0,16.9,0,32318,13785,7450,6335,10799,2,6892.5
